region,zone,circle,division,week1_total_outages,week1_duration_mins,week1_outage_hrs_per_feeder_day,week1_supply_hrs_per_feeder_day,week2_total_outages,week2_duration_mins,week2_outage_hrs_per_feeder_day,week2_supply_hrs_per_feeder_day,week3_total_outages,week3_duration_mins,week3_outage_hrs_per_feeder_day,week3_supply_hrs_per_feeder_day,week4_total_outages,week4_duration_mins,week4_outage_hrs_per_feeder_day,week4_supply_hrs_per_feeder_day,week5_total_outages,week5_duration_mins,week5_outage_hrs_per_feeder_day,week5_supply_hrs_per_feeder_day,collected_at,fetch_month,week1_outage_hrs_per_feeder_day_decimal,week2_outage_hrs_per_feeder_day_decimal,week3_outage_hrs_per_feeder_day_decimal,week4_outage_hrs_per_feeder_day_decimal,week5_outage_hrs_per_feeder_day_decimal,week1_supply_hrs_per_feeder_day_decimal,week2_supply_hrs_per_feeder_day_decimal,week3_supply_hrs_per_feeder_day_decimal,week4_supply_hrs_per_feeder_day_decimal,week5_supply_hrs_per_feeder_day_decimal,processed_at
KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,689,15893,00:26,23:34,583,14130,00:23,23:37,576,21218,00:35,23:25,575,14312,00:24,23:36,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.43,0.38,0.58,0.4,,23.57,23.62,23.42,23.6,,2025-07-24T19:11:04.849141+00:00
KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,NASIK RURAL DIVISION,480,26424,00:19,23:41,510,35239,00:25,23:35,408,16078,00:11,23:49,535,20339,00:14,23:46,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.32,0.42,0.18,0.23,,23.68,23.58,23.82,23.77,,2025-07-24T19:11:04.849141+00:00
KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,NASIK URBAN DN. I,386,10184,00:08,23:52,497,17197,00:14,23:46,533,15228,00:12,23:48,518,12092,00:10,23:50,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.13,0.23,0.2,0.17,,23.87,23.77,23.8,23.83,,2025-07-24T19:11:04.849141+00:00
KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,NASIK URBAN DN. II,799,19269,00:16,23:44,1053,24396,00:20,23:40,1149,26797,00:22,23:38,1333,32288,00:27,23:33,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.27,0.33,0.37,0.45,,23.73,23.67,23.63,23.55,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AKOLA ZONE,AKOLA CIRCLE,AKOLA RURAL DIVISION,31,2743,00:03,23:57,50,4920,00:05,23:55,31,2164,00:02,23:58,40,3001,00:03,23:57,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.05,0.08,0.03,0.05,,23.95,23.92,23.97,23.95,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AKOLA ZONE,AKOLA CIRCLE,AKOLA URBAN DIVISION,14,1286,00:01,23:59,18,1258,00:01,23:59,13,1399,00:01,23:59,17,3046,00:03,23:57,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.02,0.02,0.02,0.05,,23.98,23.98,23.98,23.95,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AKOLA ZONE,AKOLA CIRCLE,AKOT DIVISION,33,5390,00:11,23:49,30,5624,00:12,23:48,33,3667,00:08,23:52,57,4665,00:10,23:50,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.18,0.2,0.13,0.17,,23.82,23.8,23.87,23.83,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AKOLA ZONE,BULDHANA CIRCLE,BULDHANA DIVISION,26,2786,00:05,23:55,33,4547,00:08,23:52,16,1066,00:02,23:58,28,2942,00:05,23:55,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.08,0.13,0.03,0.08,,23.92,23.87,23.97,23.92,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AKOLA ZONE,BULDHANA CIRCLE,KHAMGAON CONSTRUCTION DIV,48,3362,00:06,23:54,34,3316,00:06,23:54,24,1914,00:03,23:57,15,901,00:02,23:58,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.1,0.1,0.05,0.03,,23.9,23.9,23.95,23.97,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AKOLA ZONE,BULDHANA CIRCLE,MALKAPUR DIVISION,27,1194,00:02,23:58,25,1602,00:02,23:58,60,4212,00:06,23:54,50,5219,00:08,23:52,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.03,0.03,0.1,0.13,,23.97,23.97,23.9,23.87,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AKOLA ZONE,BULDHANA CIRCLE,MEHKAR DIVISION,115,15499,00:23,23:37,89,9660,00:14,23:46,84,7582,00:11,23:49,72,5882,00:09,23:51,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.38,0.23,0.18,0.15,,23.62,23.77,23.82,23.85,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AKOLA ZONE,WASHIM CIRCLE,WASHIM DIVISION,64,7805,00:06,23:54,90,11457,00:08,23:52,77,9160,00:07,23:53,65,6793,00:05,23:55,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.1,0.13,0.12,0.08,,23.9,23.87,23.88,23.92,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AMARAVATI ZONE,AMARAVATI CIRCLE,ACHALPUR DIVISION,54,10425,00:11,23:49,23,3705,00:04,23:56,25,2535,00:03,23:57,37,3495,00:04,23:56,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.18,0.07,0.05,0.07,,23.82,23.93,23.95,23.93,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AMARAVATI ZONE,AMARAVATI CIRCLE,AMARAVATI CONSTRUCTION DN,41,8986,00:08,23:52,58,12907,00:12,23:48,50,9512,00:09,23:51,42,10941,00:10,23:50,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.13,0.2,0.15,0.17,,23.87,23.8,23.85,23.83,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AMARAVATI ZONE,AMARAVATI CIRCLE,AMARAVATI URBAN DIVISION,16,2291,00:03,23:57,9,416,00:01,23:59,16,1397,00:02,23:58,10,1038,00:01,23:59,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.05,0.02,0.03,0.02,,23.95,23.98,23.97,23.98,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AMARAVATI ZONE,AMARAVATI CIRCLE,MORSHI DIVISION,8,832,00:01,23:59,40,4037,00:07,23:53,18,1550,00:03,23:57,22,1323,00:02,23:58,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.02,0.12,0.05,0.03,,23.98,23.88,23.95,23.97,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AMARAVATI ZONE,YAVATMAL CIRCLE,DARVHA DIVISION,31,2310,00:05,23:55,32,2440,00:06,23:54,32,3780,00:09,23:51,28,2280,00:05,23:55,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.08,0.1,0.15,0.08,,23.92,23.9,23.85,23.92,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AMARAVATI ZONE,YAVATMAL CIRCLE,PANDHARKAWADA DN.,41,4950,00:06,23:54,42,4178,00:05,23:55,22,1531,00:02,23:58,20,3454,00:04,23:56,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.1,0.08,0.03,0.07,,23.9,23.92,23.97,23.93,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AMARAVATI ZONE,YAVATMAL CIRCLE,PUSAD DIVISION,51,6736,00:11,23:49,56,8265,00:13,23:47,50,6390,00:10,23:50,65,7315,00:12,23:48,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.18,0.22,0.17,0.2,,23.82,23.78,23.83,23.8,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,AMARAVATI ZONE,YAVATMAL CIRCLE,YAVATMAL DIVISION,23,5175,00:08,23:52,24,2773,00:04,23:56,11,855,00:01,23:59,11,1082,00:02,23:58,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.13,0.07,0.02,0.03,,23.87,23.93,23.98,23.97,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,CHANDRAPUR ZONE,CHANDRAPUR CIRCLE,BALLARSHAH DIVISION,110,7168,00:09,23:51,88,4753,00:06,23:54,80,4158,00:05,23:55,69,2719,00:03,23:57,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.15,0.1,0.08,0.05,,23.85,23.9,23.92,23.95,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,CHANDRAPUR ZONE,CHANDRAPUR CIRCLE,CHANDRAPUR DIVISION,102,8933,00:08,23:52,126,6498,00:06,23:54,72,2886,00:03,23:57,65,6631,00:06,23:54,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.13,0.1,0.05,0.1,,23.87,23.9,23.95,23.9,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,CHANDRAPUR ZONE,CHANDRAPUR CIRCLE,WARORA DIVISION,32,2606,00:04,23:56,26,2330,00:04,23:56,31,2620,00:04,23:56,22,1990,00:03,23:57,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.07,0.07,0.07,0.05,,23.93,23.93,23.93,23.95,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,CHANDRAPUR ZONE,GADCHIROLI CIRCLE,ALLAPALLI DIVISION,37,6575,00:10,23:50,52,6807,00:11,23:49,28,5713,00:09,23:51,16,2017,00:03,23:57,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.17,0.18,0.15,0.05,,23.83,23.82,23.85,23.95,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,CHANDRAPUR ZONE,GADCHIROLI CIRCLE,BRAMHAPURI DIVISION,44,3510,00:07,23:53,27,1827,00:04,23:56,26,3179,00:07,23:53,32,2300,00:05,23:55,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.12,0.07,0.12,0.08,,23.88,23.93,23.88,23.92,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,CHANDRAPUR ZONE,GADCHIROLI CIRCLE,GADCHIROLI DIVISION,46,4060,00:06,23:54,21,1669,00:02,23:58,43,5325,00:07,23:53,76,8181,00:11,23:49,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.1,0.03,0.12,0.18,,23.9,23.97,23.88,23.82,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,GONDIA ZONE,BHANDARA CIRCLE,BHANDARA DIVISION,188,15067,00:19,23:41,198,15287,00:20,23:40,182,8339,00:11,23:49,200,7473,00:10,23:50,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.32,0.33,0.18,0.17,,23.68,23.67,23.82,23.83,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,GONDIA ZONE,BHANDARA CIRCLE,SAKOLI O&M DIVISION,23,2997,00:09,23:51,40,3635,00:11,23:49,43,3265,00:10,23:50,34,4524,00:13,23:47,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.15,0.18,0.17,0.22,,23.85,23.82,23.83,23.78,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,GONDIA ZONE,GONDIA CIRCLE,DEORI DIVISION,211,23444,00:41,23:19,129,12913,00:22,23:38,128,11741,00:20,23:40,117,13243,00:23,23:37,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.68,0.37,0.33,0.38,,23.32,23.63,23.67,23.62,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,GONDIA ZONE,GONDIA CIRCLE,GONDIA DIVISION,104,8840,00:10,23:50,152,12393,00:15,23:45,160,12502,00:15,23:45,111,13258,00:16,23:44,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.17,0.25,0.25,0.27,,23.83,23.75,23.75,23.73,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,NAGPUR ZONE,NAGPUR (R) CIRCLE,KATOL DIVISION,3,1035,00:03,23:57,2,130,00:00,24:00,15,1685,00:04,23:56,2,435,00:01,23:59,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.05,0.0,0.07,0.02,,23.95,24.0,23.93,23.98,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,NAGPUR ZONE,NAGPUR (R) CIRCLE,MOUDA DIVISION,53,7341,00:07,23:53,58,6372,00:06,23:54,36,3242,00:03,23:57,58,7958,00:08,23:52,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.12,0.1,0.05,0.13,,23.88,23.9,23.95,23.87,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,NAGPUR ZONE,NAGPUR (R) CIRCLE,SAONER DIVISION,23,3873,00:04,23:56,13,1082,00:01,23:59,11,799,00:01,23:59,10,899,00:01,23:59,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.07,0.02,0.02,0.02,,23.93,23.98,23.98,23.98,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,NAGPUR ZONE,NAGPUR (R) CIRCLE,UMRED DIVISION,25,2346,00:04,23:56,43,7100,00:12,23:48,19,2499,00:04,23:56,24,2835,00:05,23:55,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.07,0.2,0.07,0.08,,23.93,23.8,23.93,23.92,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,NAGPUR ZONE,NAGPUR (U) CIRCLE,MIDC METER NAGPUR,163,8878,00:07,23:53,125,8071,00:06,23:54,171,7069,00:05,23:55,136,5519,00:04,23:56,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.12,0.1,0.08,0.07,,23.88,23.9,23.92,23.93,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,NAGPUR ZONE,NAGPUR (U) CIRCLE,NAGPUR CIVIL LINES DIVN.,59,5020,00:05,23:55,106,3982,00:04,23:56,43,1489,00:02,23:58,42,1474,00:02,23:58,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.08,0.07,0.03,0.03,,23.92,23.93,23.97,23.97,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,NAGPUR ZONE,NAGPUR (U) CIRCLE,NAGPUR CONGRESS NAGAR DIV,97,5506,00:04,23:56,74,4425,00:03,23:57,48,1679,00:01,23:59,84,1848,00:01,23:59,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.07,0.05,0.02,0.02,,23.93,23.95,23.98,23.98,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,NAGPUR ZONE,NAGPUR (U) CIRCLE,NAGPUR GANDHIBAUG DIV.,92,3610,00:07,23:53,83,4735,00:09,23:51,102,2688,00:05,23:55,60,3554,00:07,23:53,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.12,0.15,0.08,0.12,,23.88,23.85,23.92,23.88,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,NAGPUR ZONE,NAGPUR (U) CIRCLE,NAGPUR MAHAL DIVISION,134,4093,00:04,23:56,90,2471,00:03,23:57,56,2316,00:03,23:57,80,2595,00:03,23:57,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.07,0.05,0.05,0.05,,23.93,23.95,23.95,23.95,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,NAGPUR ZONE,WARDHA CIRCLE,ARVI DIVISION,109,9350,00:19,23:41,69,11316,00:23,23:37,52,7772,00:16,23:44,70,5147,00:10,23:50,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.32,0.38,0.27,0.17,,23.68,23.62,23.73,23.83,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,NAGPUR ZONE,WARDHA CIRCLE,HINGANGHAT DIVISION,18,1482,00:03,23:57,9,608,00:01,23:59,14,1242,00:03,23:57,16,1302,00:03,23:57,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.05,0.02,0.05,0.05,,23.95,23.98,23.95,23.95,,2025-07-24T19:11:04.849141+00:00
NAGPUR REGION,NAGPUR ZONE,WARDHA CIRCLE,WARDHA DIVISION,48,3856,00:05,23:55,52,8996,00:11,23:49,57,4483,00:06,23:54,68,7494,00:09,23:51,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.08,0.18,0.1,0.15,,23.92,23.82,23.9,23.85,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,BARAMATI ZONE,BARAMATI CIRCLE,BARAMATI DIVISION,180,5935,00:05,23:55,130,7596,00:07,23:53,138,3486,00:03,23:57,136,3647,00:03,23:57,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.08,0.12,0.05,0.05,,23.92,23.88,23.95,23.95,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,BARAMATI ZONE,BARAMATI CIRCLE,DOUND DIVISION,171,8087,00:07,23:53,137,11568,00:11,23:49,170,8451,00:08,23:52,152,4387,00:04,23:56,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.12,0.18,0.13,0.07,,23.88,23.82,23.87,23.93,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,BARAMATI ZONE,BARAMATI CIRCLE,SASWAD DIVISION,91,7311,00:22,23:38,113,9499,00:28,23:32,116,6189,00:18,23:42,86,1949,00:06,23:54,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.37,0.47,0.3,0.1,,23.63,23.53,23.7,23.9,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,BARAMATI ZONE,SATARA CIRCLE,KARAD DIVISION,199,7922,00:08,23:52,74,2239,00:02,23:58,128,3627,00:04,23:56,137,4225,00:04,23:56,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.13,0.03,0.07,0.07,,23.87,23.97,23.93,23.93,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,BARAMATI ZONE,SATARA CIRCLE,PHALTAN DIVISION,54,4392,00:07,23:53,54,4355,00:07,23:53,35,1227,00:02,23:58,95,2198,00:04,23:56,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.12,0.12,0.03,0.07,,23.88,23.88,23.97,23.93,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,BARAMATI ZONE,SATARA CIRCLE,SATARA DIVISION,104,4315,00:07,23:53,65,2729,00:04,23:56,100,3751,00:06,23:54,99,3344,00:05,23:55,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.12,0.07,0.1,0.08,,23.88,23.93,23.9,23.92,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,BARAMATI ZONE,SATARA CIRCLE,VADUJ DIVISION,214,9410,00:19,23:41,128,2685,00:06,23:54,129,4361,00:09,23:51,191,4734,00:10,23:50,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.32,0.1,0.15,0.17,,23.68,23.9,23.85,23.83,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,BARAMATI ZONE,SATARA CIRCLE,WAI DIVISION,78,6895,00:19,23:41,59,4624,00:12,23:48,56,1872,00:05,23:55,90,2522,00:07,23:53,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.32,0.2,0.08,0.12,,23.68,23.8,23.92,23.88,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,BARAMATI ZONE,SOLAPUR CIRCLE,AKLUJ O&M DIVISION,177,20360,00:43,23:17,94,8386,00:18,23:42,113,4768,00:10,23:50,116,3573,00:08,23:52,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.72,0.3,0.17,0.13,,23.28,23.7,23.83,23.87,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,BARAMATI ZONE,SOLAPUR CIRCLE,BARSI DIVISION,279,21787,00:22,23:38,269,18128,00:18,23:42,240,9620,00:10,23:50,254,7447,00:07,23:53,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.37,0.3,0.17,0.12,,23.63,23.7,23.83,23.88,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,BARAMATI ZONE,SOLAPUR CIRCLE,PANDHARPUR DIVISION,385,17826,00:17,23:43,253,12087,00:12,23:48,247,10268,00:10,23:50,343,6832,00:07,23:53,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.28,0.2,0.17,0.12,,23.72,23.8,23.83,23.88,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,BARAMATI ZONE,SOLAPUR CIRCLE,SOLAPUR RURAL DIVISION,335,30511,00:22,23:38,340,27309,00:20,23:40,236,13807,00:10,23:50,309,12540,00:09,23:51,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.37,0.33,0.17,0.15,,23.63,23.67,23.83,23.85,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,BARAMATI ZONE,SOLAPUR CIRCLE,SOLAPUR URBAN DIVISION,98,7680,00:13,23:47,44,3710,00:06,23:54,32,883,00:01,23:59,55,1234,00:02,23:58,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.22,0.1,0.02,0.03,,23.78,23.9,23.98,23.97,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,KOLHAPUR ZONE,KOLHAPUR CIRCLE,GADHINGLAJ DIVISION,102,3186,00:06,23:54,82,5935,00:11,23:49,83,4377,00:08,23:52,143,4392,00:08,23:52,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.1,0.18,0.13,0.13,,23.9,23.82,23.87,23.87,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,KOLHAPUR ZONE,KOLHAPUR CIRCLE,ICHALKARANJI DIVISION,74,4840,00:05,23:55,114,19362,00:21,23:39,83,6325,00:07,23:53,110,3686,00:04,23:56,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.08,0.35,0.12,0.07,,23.92,23.65,23.88,23.93,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,KOLHAPUR ZONE,KOLHAPUR CIRCLE,JAYASINGPUR DIVISION,109,8596,00:12,23:48,94,11174,00:15,23:45,64,5232,00:07,23:53,135,8876,00:12,23:48,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.2,0.25,0.12,0.2,,23.8,23.75,23.88,23.8,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,KOLHAPUR ZONE,KOLHAPUR CIRCLE,KOLHAPUR RURAL I DIVISION,195,17354,00:24,23:36,128,9384,00:13,23:47,160,7118,00:10,23:50,145,8867,00:12,23:48,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.4,0.22,0.17,0.2,,23.6,23.78,23.83,23.8,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,KOLHAPUR ZONE,KOLHAPUR CIRCLE,KOLHAPUR RURAL II DIV.,101,5883,00:06,23:54,77,9018,00:09,23:51,107,3020,00:03,23:57,140,3371,00:03,23:57,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.1,0.15,0.05,0.05,,23.9,23.85,23.95,23.95,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,KOLHAPUR ZONE,KOLHAPUR CIRCLE,KOLHAPUR URBAN DIVISION,57,2754,00:04,23:56,60,7326,00:09,23:51,46,420,00:01,23:59,67,3589,00:05,23:55,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.07,0.15,0.02,0.08,,23.93,23.85,23.98,23.92,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,KOLHAPUR ZONE,SANGLI CIRCLE,ISLAMPUR DIVISION,130,8650,00:11,23:49,63,3665,00:04,23:56,128,6559,00:08,23:52,114,6784,00:08,23:52,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.18,0.07,0.13,0.13,,23.82,23.93,23.87,23.87,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,KOLHAPUR ZONE,SANGLI CIRCLE,KAVATHEMAHANKAL DIVISION,154,8398,00:14,23:46,93,2651,00:04,23:56,64,4221,00:07,23:53,131,7582,00:12,23:48,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.23,0.07,0.12,0.2,,23.77,23.93,23.88,23.8,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,KOLHAPUR ZONE,SANGLI CIRCLE,SANGLI RURAL DIVISION,142,9000,00:13,23:47,96,7952,00:11,23:49,113,3785,00:05,23:55,137,5590,00:08,23:52,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.22,0.18,0.08,0.13,,23.78,23.82,23.92,23.87,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,KOLHAPUR ZONE,SANGLI CIRCLE,SANGLI URBAN DIVISION,60,5240,00:07,23:53,53,3613,00:05,23:55,56,7205,00:10,23:50,55,3668,00:05,23:55,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.12,0.08,0.17,0.08,,23.88,23.92,23.83,23.92,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,KOLHAPUR ZONE,SANGLI CIRCLE,VITA DIVISION,213,9407,00:12,23:48,138,6347,00:08,23:52,165,7111,00:09,23:51,163,3692,00:05,23:55,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.2,0.13,0.15,0.08,,23.8,23.87,23.85,23.92,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,PUNE ZONE,GANESHKHIND (U) CIRCLE,BHOSARI DIVISION,55,4942,00:07,23:53,71,11909,00:17,23:43,68,4283,00:06,23:54,76,3075,00:04,23:56,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.12,0.28,0.1,0.07,,23.88,23.72,23.9,23.93,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,PUNE ZONE,GANESHKHIND (U) CIRCLE,KOTHRUD DIVISION,28,6377,00:11,23:49,5,243,00:00,24:00,2,27,00:00,24:00,25,288,00:00,24:00,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.18,0.0,0.0,0.0,,23.82,24.0,24.0,24.0,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,PUNE ZONE,GANESHKHIND (U) CIRCLE,PIMPRI DIVISION,52,4935,00:03,23:57,41,4537,00:03,23:57,92,3929,00:03,23:57,124,4805,00:03,23:57,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.05,0.05,0.05,0.05,,23.95,23.95,23.95,23.95,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,PUNE ZONE,GANESHKHIND (U) CIRCLE,SHIVAJI NAGAR DIVISION,85,23404,00:18,23:42,35,4149,00:03,23:57,43,1031,00:01,23:59,49,1293,00:01,23:59,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.3,0.05,0.02,0.02,,23.7,23.95,23.98,23.98,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,PUNE ZONE,PUNE (R) CIRCLE,MANCHAR O&M DIVISION,118,4905,00:11,23:49,101,4234,00:10,23:50,103,2044,00:05,23:55,96,3159,00:07,23:53,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.18,0.17,0.08,0.12,,23.82,23.83,23.92,23.88,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,PUNE ZONE,PUNE (R) CIRCLE,PUNE DIVISION,160,16035,00:15,23:45,102,12849,00:12,23:48,121,13165,00:12,23:48,168,6029,00:06,23:54,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.25,0.2,0.2,0.1,,23.75,23.8,23.8,23.9,,2025-07-24T19:11:04.849141+00:00
PUNE REGION,PUNE ZONE,PUNE (R) CIRCLE,RAJGURUNAGAR DIVISION,104,7382,00:04,23:56,68,2754,00:02,23:58,107,3557,00:02,23:58,120,6437,00:04,23:56,0,0,,,2025-07-24 19:06:15.553774+00:00,2502,0.07,0.03,0.03,0.07,,23.93,23.97,23.97,23.93,,2025-07-24T19:11:04.849141+00:00
